                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                   1.09,                 2.6805,                 1.5306,                0.00425,                0.93671,                0.06312,                0.02724,                 1.2715,                 3.5224,                 1.7569,                  6e-05,                  6e-05,                  6e-05
                      2,                 1.1202,                 2.6741,                  1.517,                0.00443,                0.97468,                0.43311,                0.25977,                0.95932,                 3.3454,                 1.4508,             0.00013769,             0.00013769,             0.00013769
                      3,                0.94708,                 2.1364,                 1.3747,                0.00448,                0.98734,                0.51829,                0.37786,                0.90777,                  3.171,                 1.3003,             0.00021274,             0.00021274,             0.00021274
                      4,                0.76013,                  1.561,                 1.2635,                0.00443,                0.97468,                0.35211,                0.19873,                 1.0344,                 3.2363,                 1.3717,             0.00028515,             0.00028515,             0.00028515
                      5,                0.91326,                 1.5348,                 1.3734,                  0.429,                0.62025,                0.50231,                0.36335,                0.97051,                 3.1897,                 1.3362,             0.00035492,             0.00035492,             0.00035492
                      6,                0.75408,                 1.3222,                  1.246,                0.95673,                0.56962,                0.70669,                0.53452,                0.99093,                 2.7075,                 1.4749,             0.00042205,             0.00042205,             0.00042205
                      7,                0.76372,                 1.2602,                 1.2162,                0.89289,                0.63316,                0.77506,                0.55005,                 1.0124,                 2.7064,                 1.3731,             0.00048654,             0.00048654,             0.00048654
                      8,                 0.8222,                 1.3135,                 1.2797,                0.92675,                0.62025,                0.74506,                0.47893,                 1.0633,                 2.6669,                 1.4924,             0.00054839,             0.00054839,             0.00054839
                      9,                 0.7917,                 1.3058,                 1.2433,                0.63869,                0.39241,                0.58015,                0.36917,                  1.109,                 2.8617,                 1.5765,              0.0006076,              0.0006076,              0.0006076
                     10,                0.80207,                 1.2446,                 1.2475,                0.65673,                0.55696,                0.54948,                 0.3524,                 1.1541,                 2.7399,                 1.4811,             0.00066417,             0.00066417,             0.00066417
                     11,                0.76826,                 1.1445,                 1.1983,                0.78731,                0.60759,                0.72447,                0.51026,                 1.0514,                 2.5179,                  1.451,              0.0007181,              0.0007181,              0.0007181
                     12,                0.76162,                 1.1009,                 1.2114,                 0.7626,                0.68354,                0.71173,                0.49877,                  1.201,                 2.5562,                 1.7633,             0.00076939,             0.00076939,             0.00076939
                     13,                 0.8001,                 1.0597,                 1.1971,                0.61287,                0.40506,                0.50793,                0.28438,                 1.5818,                 2.8695,                 2.2213,             0.00081804,             0.00081804,             0.00081804
                     14,                 0.8069,                 1.0625,                 1.2208,                0.61166,                0.47854,                0.52684,                0.29599,                 1.4501,                 2.9223,                 1.8594,             0.00086405,             0.00086405,             0.00086405
                     15,                0.83464,                 1.1683,                 1.2562,                0.87496,                0.59494,                0.72857,                0.41808,                 1.4778,                 2.3076,                 2.1342,             0.00090742,             0.00090742,             0.00090742
                     16,                0.75141,                  1.072,                 1.2284,                0.75015,                0.60808,                 0.6603,                0.38815,                 1.6375,                 2.1696,                 2.1795,             0.00094815,             0.00094815,             0.00094815
                     17,                0.75137,                  1.022,                 1.1881,                0.65492,                0.51899,                0.48476,                0.21142,                 1.9283,                 2.1752,                 2.5425,             0.00098624,             0.00098624,             0.00098624
